statefip,year,vacant,units,state_name,total_units,vacancy_rate,vacancy_status
22,2017,0,1737115,Louisiana,2061582,0.1573873850276147,Occupied
22,2017,1,324467,Louisiana,2061582,0.1573873850276147,Vacant
22,2016,1,316258,Louisiana,2037067,0.15525164366218686,Vacant
22,2016,0,1720809,Louisiana,2037067,0.15525164366218686,Occupied
23,2017,1,201682,Maine,742644,0.2715729205379697,Vacant
23,2016,1,199125,Maine,730786,0.2724805893927908,Vacant
23,2017,0,540962,Maine,742644,0.2715729205379697,Occupied
23,2016,0,531661,Maine,730786,0.2724805893927908,Occupied
23,2015,0,544962,Maine,729126,0.2525818582796389,Occupied
23,2015,1,184164,Maine,729126,0.2525818582796389,Vacant
23,2018,1,176283,Maine,746592,0.23611691526295486,Vacant
23,2018,0,570309,Maine,746592,0.23611691526295486,Occupied
23,2019,1,177344,Maine,750860,0.23618783794582213,Vacant
23,2019,0,573516,Maine,750860,0.23618783794582213,Occupied
24,2016,0,2194512,Maryland,2447071,0.10320869316828159,Occupied
24,2016,1,252559,Maryland,2447071,0.10320869316828159,Vacant
24,2017,0,2207336,Maryland,2449123,0.09872391055900419,Occupied
24,2019,0,2226715,Maryland,2470250,0.09858718753162635,Occupied
24,2015,0,2177943,Maryland,2434465,0.10537099527000798,Occupied
24,2015,1,256522,Maryland,2434465,0.10537099527000798,Vacant
24,2018,1,242842,Maryland,2458727,0.09876737026924909,Vacant
24,2017,1,241787,Maryland,2449123,0.09872391055900419,Vacant
24,2019,1,243535,Maryland,2470250,0.09858718753162635,Vacant
24,2018,0,2215885,Maryland,2458727,0.09876737026924909,Occupied
25,2015,0,2559953,Massachusetts,2845805,0.10044679800618805,Occupied
25,2015,1,285852,Massachusetts,2845805,0.10044679800618805,Vacant
25,2018,1,290748,Massachusetts,2915027,0.09974110016819741,Vacant
25,2019,0,2650519,Massachusetts,2928654,0.0949702491315123,Occupied
25,2019,1,278135,Massachusetts,2928654,0.0949702491315123,Vacant
25,2016,0,2579453,Massachusetts,2858147,0.09750863059177851,Occupied
25,2017,0,2604957,Massachusetts,2894590,0.10006011214023403,Occupied
25,2017,1,289633,Massachusetts,2894590,0.10006011214023403,Vacant
25,2016,1,278694,Massachusetts,2858147,0.09750863059177851,Vacant
25,2018,0,2624279,Massachusetts,2915027,0.09974110016819741,Occupied
26,2015,0,3858379,Michigan,4550172,0.15203667026213513,Occupied
26,2018,0,3957331,Michigan,4614412,0.14239755791203734,Occupied
26,2018,1,657081,Michigan,4614412,0.14239755791203734,Vacant
26,2017,1,665266,Michigan,4595058,0.14477858603743413,Vacant
26,2019,0,3969808,Michigan,4629523,0.14250172209966339,Occupied
26,2019,1,659715,Michigan,4629523,0.14250172209966339,Vacant
26,2017,0,3929792,Michigan,4595058,0.14477858603743413,Occupied
26,2016,0,3884128,Michigan,4560132,0.14824220000649105,Occupied
26,2016,1,676004,Michigan,4560132,0.14824220000649105,Vacant
26,2015,1,691793,Michigan,4550172,0.15203667026213513,Vacant
27,2016,0,2148725,Minnesota,2409701,0.10830223334762279,Occupied
27,2015,0,2147118,Minnesota,2396939,0.10422501365282971,Occupied
27,2018,0,2194443,Minnesota,2455637,0.10636506943005013,Occupied
27,2018,1,261194,Minnesota,2455637,0.10636506943005013,Vacant
27,2016,1,260976,Minnesota,2409701,0.10830223334762279,Vacant
27,2019,0,2222510,Minnesota,2477447,0.10290310953170743,Occupied
27,2015,1,249821,Minnesota,2396939,0.10422501365282971,Vacant
27,2017,0,2162155,Minnesota,2437672,0.11302463990233305,Occupied
27,2017,1,275517,Minnesota,2437672,0.11302463990233305,Vacant
27,2019,1,254937,Minnesota,2477447,0.10290310953170743,Vacant
28,2016,0,1091252,Mississippi,1307492,0.16538533314161769,Occupied
28,2019,0,1100147,Mississippi,1338968,0.1783619922208746,Occupied
28,2019,1,238821,Mississippi,1338968,0.1783619922208746,Vacant
28,2018,0,1108633,Mississippi,1332631,0.16808703984824006,Occupied
28,2018,1,223998,Mississippi,1332631,0.16808703984824006,Vacant
28,2016,1,216240,Mississippi,1307492,0.16538533314161769,Vacant
28,2015,0,1104372,Mississippi,1300932,0.15109167888867367,Occupied
28,2015,1,196560,Mississippi,1300932,0.15109167888867367,Vacant
28,2017,0,1091917,Mississippi,1323684,0.1750923936528658,Occupied
28,2017,1,231767,Mississippi,1323684,0.1750923936528658,Vacant
29,2016,0,2372124,Missouri,2760149,0.14058117876969686,Occupied
29,2019,0,2458339,Missouri,2819334,0.12804265120769656,Occupied
29,2019,1,360995,Missouri,2819334,0.12804265120769656,Vacant
29,2018,0,2434790,Missouri,2806283,0.13237902235804444,Occupied
29,2017,0,2385125,Missouri,2792445,0.1458650036079493,Occupied
29,2017,1,407320,Missouri,2792445,0.1458650036079493,Vacant
29,2016,1,388025,Missouri,2760149,0.14058117876969686,Vacant
29,2015,0,2373999,Missouri,2746470,0.13561808430458006,Occupied
29,2015,1,372471,Missouri,2746470,0.13561808430458006,Vacant
29,2018,1,371493,Missouri,2806283,0.13237902235804444,Vacant
30,2017,0,423086,Montana,510408,0.1710827416498174,Occupied
30,2017,1,87322,Montana,510408,0.1710827416498174,Vacant
30,2019,0,437647,Montana,519938,0.15827079382541764,Occupied
30,2019,1,82291,Montana,519938,0.15827079382541764,Vacant
30,2018,0,431419,Montana,515161,0.16255500707545797,Occupied
30,2016,0,416127,Montana,497749,0.16398224808086004,Occupied
30,2016,1,81622,Montana,497749,0.16398224808086004,Vacant
30,2015,0,414787,Montana,494202,0.16069340067421822,Occupied
30,2015,1,79415,Montana,494202,0.16069340067421822,Vacant
30,2018,1,83742,Montana,515161,0.16255500707545797,Vacant
31,2015,0,744105,Nebraska,820877,0.09352436479521292,Occupied
31,2017,0,754410,Nebraska,837458,0.0991667641839949,Occupied
31,2017,1,83048,Nebraska,837458,0.0991667641839949,Vacant
31,2019,0,771188,Nebraska,850912,0.09369241472678726,Occupied
31,2015,1,76772,Nebraska,820877,0.09352436479521292,Vacant
31,2018,0,765490,Nebraska,845011,0.09410646725308901,Occupied
31,2016,0,747559,Nebraska,827191,0.09626797196778011,Occupied
31,2016,1,79632,Nebraska,827191,0.09626797196778011,Vacant
31,2019,1,79724,Nebraska,850912,0.09369241472678726,Vacant
31,2018,1,79521,Nebraska,845011,0.09410646725308901,Vacant
32,2019,0,1143299,Nevada,1285428,0.11056939789704286,Occupied
32,2018,0,1129807,Nevada,1268717,0.10948856206703307,Occupied
32,2018,1,138910,Nevada,1268717,0.10948856206703307,Vacant
32,2017,1,155127,Nevada,1249611,0.12414023244033544,Vacant
32,2015,0,1042063,Nevada,1209864,0.13869410115517117,Occupied
32,2015,1,167801,Nevada,1209864,0.13869410115517117,Vacant
32,2017,0,1094484,Nevada,1249611,0.12414023244033544,Occupied
32,2016,0,1055155,Nevada,1221759,0.13636404560964968,Occupied
32,2016,1,166604,Nevada,1221759,0.13636404560964968,Vacant
32,2019,1,142129,Nevada,1285428,0.11056939789704286,Vacant
33,2016,1,104695,New Hampshire,625277,0.16743779157077585,Vacant
33,2018,0,531190,New Hampshire,638092,0.16753383524632812,Occupied
33,2017,0,528568,New Hampshire,634560,0.16703227433182047,Occupied
33,2017,1,105992,New Hampshire,634560,0.16703227433182047,Vacant
33,2018,1,106902,New Hampshire,638092,0.16753383524632812,Vacant
33,2015,0,517614,New Hampshire,622604,0.16863046173811924,Occupied
33,2015,1,104990,New Hampshire,622604,0.16863046173811924,Vacant
33,2016,0,520582,New Hampshire,625277,0.16743779157077585,Occupied
33,2019,0,541393,New Hampshire,642298,0.1570999754008264,Occupied
33,2019,1,100905,New Hampshire,642298,0.1570999754008264,Vacant
34,2016,1,410164,New Jersey,3604688,0.11378626943580138,Vacant
34,2015,0,3187963,New Jersey,3593722,0.11290773187241529,Occupied
34,2017,0,3218762,New Jersey,3615848,0.10981822244740376,Occupied
34,2016,0,3194524,New Jersey,3604688,0.11378626943580138,Occupied
34,2019,0,3286148,New Jersey,3641739,0.0976431864007827,Occupied
34,2019,1,355591,New Jersey,3641739,0.0976431864007827,Vacant
34,2015,1,405759,New Jersey,3593722,0.11290773187241529,Vacant
34,2017,1,397086,New Jersey,3615848,0.10981822244740376,Vacant
34,2018,0,3249570,New Jersey,3628198,0.1043570389488115,Occupied
34,2018,1,378628,New Jersey,3628198,0.1043570389488115,Vacant
35,2015,1,153180,New Mexico,914913,0.16742575523574374,Vacant
35,2015,0,761733,New Mexico,914913,0.16742575523574374,Occupied
35,2016,1,159273,New Mexico,917426,0.17360855262440786,Vacant
35,2016,0,758153,New Mexico,917426,0.17360855262440786,Occupied
35,2019,0,793137,New Mexico,948185,0.1635208319051662,Occupied
35,2019,1,155048,New Mexico,948185,0.1635208319051662,Vacant
35,2018,1,149140,New Mexico,943131,0.15813285747154956,Vacant
35,2017,1,170275,New Mexico,937923,0.18154475367380904,Vacant
35,2018,0,793991,New Mexico,943131,0.15813285747154956,Occupied
35,2017,0,767648,New Mexico,937923,0.18154475367380904,Occupied
36,2018,1,996833,New York,8363718,0.1191853909947705,Vacant
36,2018,0,7366885,New York,8363718,0.1191853909947705,Occupied
36,2017,0,7304187,New York,8327484,0.12288189325851602,Occupied
36,2017,1,1023297,New York,8327484,0.12288189325851602,Vacant
36,2016,0,7208814,New York,8231806,0.1242730938994432,Occupied
36,2019,0,7446483,New York,8403871,0.11392226272868777,Occupied
36,2019,1,957388,New York,8403871,0.11392226272868777,Vacant
36,2015,1,973470,New York,8207051,0.11861386020386616,Vacant
36,2016,1,1022992,New York,8231806,0.1242730938994432,Vacant
36,2015,0,7233581,New York,8207051,0.11861386020386616,Occupied
37,2017,0,3955070,North Carolina,4622656,0.14441611056500853,Occupied
37,2019,0,4046248,North Carolina,4748049,0.14780828925733497,Occupied
37,2018,0,4011398,North Carolina,4684891,0.14375852074253168,Occupied
37,2018,1,673493,North Carolina,4684891,0.14375852074253168,Vacant
37,2016,0,3882419,North Carolina,4540697,0.14497289733272226,Occupied
37,2016,1,658278,North Carolina,4540697,0.14497289733272226,Vacant
37,2015,0,3843740,North Carolina,4491075,0.14413809611284603,Occupied
37,2015,1,647335,North Carolina,4491075,0.14413809611284603,Vacant
37,2017,1,667586,North Carolina,4622656,0.14441611056500853,Vacant
37,2019,1,701801,North Carolina,4748049,0.14780828925733497,Vacant
38,2017,0,316303,North Dakota,374591,0.15560437917622152,Occupied
38,2017,1,58288,North Dakota,374591,0.15560437917622152,Vacant
38,2019,0,323521,North Dakota,379974,0.14857069167890435,Occupied
38,2019,1,56453,North Dakota,379974,0.14857069167890435,Vacant
38,2018,1,58307,North Dakota,377661,0.15438978343011325,Vacant
38,2016,0,314757,North Dakota,368169,0.1450746803777613,Occupied
38,2016,1,53412,North Dakota,368169,0.1450746803777613,Vacant
38,2018,0,319354,North Dakota,377661,0.15438978343011325,Occupied
38,2015,1,49418,North Dakota,362889,0.13617938267624535,Vacant
38,2015,0,313471,North Dakota,362889,0.13617938267624535,Occupied
39,2018,0,4685316,Ohio,5217488,0.10199774297516352,Occupied
39,2018,1,532172,Ohio,5217488,0.10199774297516352,Vacant
39,2019,0,4730333,Ohio,5232943,0.09604729117057074,Occupied
39,2015,0,4606548,Ohio,5156441,0.10664196487461022,Occupied
39,2017,0,4667146,Ohio,5201646,0.10275593533277735,Occupied
39,2017,1,534500,Ohio,5201646,0.10275593533277735,Vacant
39,2016,0,4624477,Ohio,5164201,0.10451258578045278,Occupied
39,2016,1,539724,Ohio,5164201,0.10451258578045278,Vacant
39,2019,1,502610,Ohio,5232943,0.09604729117057074,Vacant
39,2015,1,549893,Ohio,5156441,0.10664196487461022,Vacant
40,2017,0,1470365,Oklahoma,1734074,0.1520748249498003,Occupied
40,2017,1,263709,Oklahoma,1734074,0.1520748249498003,Vacant
40,2016,0,1469336,Oklahoma,1721072,0.14626697779058634,Occupied
40,2019,0,1495156,Oklahoma,1749520,0.14539073574466138,Occupied
40,2018,0,1485306,Oklahoma,1743073,0.14788078296204463,Occupied
40,2018,1,257767,Oklahoma,1743073,0.14788078296204463,Vacant
40,2016,1,251736,Oklahoma,1721072,0.14626697779058634,Vacant
40,2015,0,1465948,Oklahoma,1711515,0.14347931510971274,Occupied
40,2015,1,245567,Oklahoma,1711515,0.14347931510971274,Vacant
40,2019,1,254364,Oklahoma,1749520,0.14539073574466138,Vacant
41,2018,0,1639870,Oregon,1788649,0.08317953941773931,Occupied
41,2015,0,1553194,Oregon,1718499,0.09619150200261972,Occupied
41,2017,0,1603513,Oregon,1768456,0.09326949610281511,Occupied
41,2017,1,164943,Oregon,1768456,0.09326949610281511,Vacant
41,2019,0,1649070,Oregon,1808196,0.08800262803368661,Occupied
41,2019,1,159126,Oregon,1808196,0.08800262803368661,Vacant
41,2018,1,148779,Oregon,1788649,0.08317953941773931,Vacant
41,2016,0,1571459,Oregon,1732669,0.09304142914774836,Occupied
41,2016,1,161210,Oregon,1732669,0.09304142914774836,Vacant
41,2015,1,165305,Oregon,1718499,0.09619150200261972,Vacant
42,2016,0,4937658,Pennsylvania,5611889,0.12014332428884462,Occupied
42,2018,0,5070850,Pennsylvania,5713050,0.11240930851296593,Occupied
42,2018,1,642200,Pennsylvania,5713050,0.11240930851296593,Vacant
42,2017,1,685651,Pennsylvania,5694332,0.12040938252283148,Vacant
42,2019,0,5118937,Pennsylvania,5732277,0.10699762066627276,Occupied
42,2015,0,4955799,Pennsylvania,5602817,0.11548083758580728,Occupied
42,2017,0,5008681,Pennsylvania,5694332,0.12040938252283148,Occupied
42,2019,1,613340,Pennsylvania,5732277,0.10699762066627276,Vacant
42,2016,1,674231,Pennsylvania,5611889,0.12014332428884462,Vacant
42,2015,1,647018,Pennsylvania,5602817,0.11548083758580728,Vacant
44,2017,0,408750,Rhode Island,468266,0.1270987003113615,Occupied
